"ID"	"GB_ACC"	"Gene.Title"	"Gene.Symbol"
"226707_PM_at"	"226707_PM_at"	"AI925574"	"nicotinate phosphoribosyltransferase domain containing 1"	"NAPRT1"
"223806_PM_s_at"	"223806_PM_s_at"	"AF090386"	"napsin A aspartic peptidase"	"NAPSA"
"228055_PM_at"	"228055_PM_at"	"AI763426"	"napsin B aspartic peptidase pseudogene"	"NAPSB"
"219862_PM_s_at"	"219862_PM_s_at"	"NM_012336"	"nuclear prelamin A recognition factor"	"NARF"
"218742_PM_at"	"218742_PM_at"	"NM_022493"	"nuclear prelamin A recognition factor-like"	"NARFL"
"218713_PM_at"	"218713_PM_at"	"NM_024611"	"NMDA receptor regulated 2"	"NARG2"
"200027_PM_at"	"200027_PM_at"	"NM_004539"	"asparaginyl-tRNA synthetase"	"NARS"
"219217_PM_at"	"219217_PM_at"	"NM_024678"	"asparaginyl-tRNA synthetase 2, mitochondrial (putative)"	"NARS2"
"201969_PM_at"	"201969_PM_at"	"AW003362"	"nuclear autoantigenic sperm protein (histone-binding)"	"NASP"
"214440_PM_at"	"214440_PM_at"	"NM_000662"	"N-acetyltransferase 1 (arylamine N-acetyltransferase)"	"NAT1"
"217884_PM_at"	"217884_PM_at"	"NM_024662"	"N-acetyltransferase 10 (GCN5-related)"	"NAT10"
"223284_PM_at"	"223284_PM_at"	"AB038651"	"N-acetyltransferase 14 (GCN5-related, putative)"	"NAT14"
"218661_PM_at"	"218661_PM_at"	"NM_024845"	"N-acetyltransferase 15 (GCN5-related, putative)"	"NAT15"
"206797_PM_at"	"206797_PM_at"	"NM_000015"	"N-acetyltransferase 2 (arylamine N-acetyltransferase)"	"NAT2"
"210874_PM_s_at"	"210874_PM_s_at"	"BC004483"	"N-acetyltransferase 6 (GCN5-related)"	"NAT6"
"210289_PM_at"	"210289_PM_at"	"AB013094"	"N-acetyltransferase 8 (GCN5-related, putative)"	"NAT8"
"206963_PM_s_at"	"206963_PM_s_at"	"NM_016347"	"N-acetyltransferase 8 (GCN5-related, putative) /// N-acetyltransferase 8B (GCN5-related, putative, gene/pseudogene)"	"NAT8 /// NAT8B"
"206964_PM_at"	"206964_PM_at"	"NM_016347"	"N-acetyltransferase 8B (GCN5-related, putative, gene/pseudogene)"	"NAT8B"
"228880_PM_at"	"228880_PM_at"	"AL041933"	"N-acetyltransferase 8-like (GCN5-related, putative)"	"NAT8L"
"204382_PM_at"	"204382_PM_at"	"NM_015654"	"N-acetyltransferase 9 (GCN5-related, putative)"	"NAT9"
"224770_PM_s_at"	"224770_PM_s_at"	"AI937060"	"neuron navigator 1"	"NAV1"
"1556606_PM_at"	"1556606_PM_at"	"BU739339"	"neuron navigator 2"	"NAV2"
"1552658_PM_a_at"	"1552658_PM_a_at"	"NM_014903"	"neuron navigator 3"	"NAV3"
"202926_PM_at"	"202926_PM_at"	"NM_015909"	"neuroblastoma amplified sequence"	"NBAS"
"221207_PM_s_at"	"221207_PM_s_at"	"NM_015678"	"neurobeachin"	"NBEA"
"1554106_PM_at"	"1554106_PM_at"	"AB053318"	"neurobeachin-like 1"	"NBEAL1"
"1556017_PM_at"	"1556017_PM_at"	"AK092871"	"neurobeachin-like 2"	"NBEAL2"
"201621_PM_at"	"201621_PM_at"	"NM_005380"	"neuroblastoma, suppression of tumorigenicity 1"	"NBL1"
"219791_PM_s_at"	"219791_PM_s_at"	"NM_024748"	"Nbla00301"	"NBLA00301"
"202905_PM_x_at"	"202905_PM_x_at"	"AI796269"	"nibrin"	"NBN"
"230712_PM_at"	"230712_PM_at"	"AI634549"	"neuroblastoma breakpoint family, member 1"	"NBPF1"
"215434_PM_x_at"	"215434_PM_x_at"	"AV684285"	"neuroblastoma breakpoint family, member 1 /// neuroblastoma breakpoint family, member 10"	"NBPF1 /// NBPF10"
"212854_PM_x_at"	"212854_PM_x_at"	"AB051480"	"neuroblastoma breakpoint family, member 10"	"NBPF10"
"201103_PM_x_at"	"201103_PM_x_at"	"BE299495"	"neuroblastoma breakpoint family, member 10 /// neuroblastoma breakpoint family, member 15 /// neuroblastoma breakpoint family, member 16"	"NBPF10 /// NBPF15 /// NBPF16"
"1553910_PM_at"	"1553910_PM_at"	"NM_152488"	"neuroblastoma breakpoint family, member 22 (pseudogene) /// neuroblastoma breakpoint family, member 4 /// neuroblastoma breakpoint family, member 6"	"NBPF22P /// NBPF4 /// NBPF6"
"1558825_PM_s_at"	"1558825_PM_s_at"	"AV661527"	"neuroblastoma breakpoint family, member 3"	"NBPF3"
"1558862_PM_at"	"1558862_PM_at"	"BC043522"	"neuroblastoma breakpoint family, member 5"	"NBPF5"
"237917_PM_at"	"237917_PM_at"	"N62721"	"neuroblastoma breakpoint family, member 8"	"NBPF8"
"1568856_PM_at"	"1568856_PM_at"	"BC012591"	"Neighbor of BRCA1 gene 1"	"NBR1"
"1553992_PM_s_at"	"1553992_PM_s_at"	"BC034248"	"neighbor of BRCA1 gene 2 (non-protein coding)"	"NBR2"
"1562790_PM_at"	"1562790_PM_at"	"BC033319"	"neurocalcin delta"	"NCALD"
"209968_PM_s_at"	"209968_PM_s_at"	"U63041"	"neural cell adhesion molecule 1"	"NCAM1"
"205669_PM_at"	"205669_PM_at"	"NM_004540"	"neural cell adhesion molecule 2"	"NCAM2"
"205143_PM_at"	"205143_PM_at"	"NM_004386"	"neurocan"	"NCAN"
"201774_PM_s_at"	"201774_PM_s_at"	"AK022511"	"non-SMC condensin I complex, subunit D2"	"NCAPD2"
"212789_PM_at"	"212789_PM_at"	"AI796581"	"non-SMC condensin II complex, subunit D3"	"NCAPD3"
"218662_PM_s_at"	"218662_PM_s_at"	"NM_022346"	"non-SMC condensin I complex, subunit G"	"NCAPG"
"219588_PM_s_at"	"219588_PM_s_at"	"NM_017760"	"non-SMC condensin II complex, subunit G2"	"NCAPG2"
"212949_PM_at"	"212949_PM_at"	"D38553"	"non-SMC condensin I complex, subunit H"	"NCAPH"
"205086_PM_s_at"	"205086_PM_s_at"	"NM_014551"	"non-SMC condensin II complex, subunit H2"	"NCAPH2"
"209519_PM_at"	"209519_PM_at"	"BG108193"	"nuclear cap binding protein subunit 1, 80kDa"	"NCBP1"
"201517_PM_at"	"201517_PM_at"	"BC001255"	"nuclear cap binding protein subunit 2, 20kDa"	"NCBP2"
"209556_PM_at"	"209556_PM_at"	"AB011179"	"neurochondrin"	"NCDN"
"225847_PM_at"	"225847_PM_at"	"AB037784"	"neutral cholesterol ester hydrolase 1"	"NCEH1"
"204961_PM_s_at"	"204961_PM_s_at"	"NM_000265"	"neutrophil cytosolic factor 1 /// neutrophil cytosolic factor 1B pseudogene /// neutrophil cytosolic factor 1C pseudogene"	"NCF1 /// NCF1B /// NCF1C"
"209949_PM_at"	"209949_PM_at"	"BC001606"	"neutrophil cytosolic factor 2"	"NCF2"
"205147_PM_x_at"	"205147_PM_x_at"	"NM_000631"	"neutrophil cytosolic factor 4, 40kDa"	"NCF4"
"204725_PM_s_at"	"204725_PM_s_at"	"NM_006153"	"NCK adaptor protein 1"	"NCK1"
"203315_PM_at"	"203315_PM_at"	"BC000103"	"NCK adaptor protein 2"	"NCK2"
"207738_PM_s_at"	"207738_PM_s_at"	"NM_013436"	"NCK-associated protein 1"	"NCKAP1"
"209734_PM_at"	"209734_PM_at"	"BC001604"	"NCK-associated protein 1-like"	"NCKAP1L"
"239650_PM_at"	"239650_PM_at"	"BE858593"	"NCK-associated protein 5"	"NCKAP5"
"1562457_PM_at"	"1562457_PM_at"	"AK093900"	"NCK-associated protein 5-like"	"NCKAP5L"
"216114_PM_at"	"216114_PM_at"	"AL049430"	"NCK interacting protein with SH3 domain"	"NCKIPSD"
"200610_PM_s_at"	"200610_PM_s_at"	"NM_005381"	"nucleolin"	"NCL"
"215857_PM_at"	"215857_PM_at"	"AK022309"	"nicalin homolog (zebrafish)"	"NCLN"
"209105_PM_at"	"209105_PM_at"	"AI672428"	"nuclear receptor coactivator 1"	"NCOA1"
"205731_PM_s_at"	"205731_PM_s_at"	"AW027474"	"nuclear receptor coactivator 2"	"NCOA2"
"1562439_PM_at"	"1562439_PM_at"	"BC036778"	"Nuclear receptor coactivator 3"	"NCOA3"
"210774_PM_s_at"	"210774_PM_s_at"	"AL162047"	"nuclear receptor coactivator 4"	"NCOA4"
"225145_PM_at"	"225145_PM_at"	"AB046857"	"nuclear receptor coactivator 5"	"NCOA5"
"1568874_PM_at"	"1568874_PM_at"	"BQ027856"	"nuclear receptor coactivator 6"	"NCOA6"
"1568805_PM_at"	"1568805_PM_at"	"BC036461"	"nuclear receptor coactivator 7"	"NCOA7"
"200854_PM_at"	"200854_PM_at"	"AB028970"	"nuclear receptor co-repressor 1"	"NCOR1"
"207760_PM_s_at"	"207760_PM_s_at"	"NM_006312"	"nuclear receptor co-repressor 2"	"NCOR2"
"207860_PM_at"	"207860_PM_at"	"NM_004829"	"natural cytotoxicity triggering receptor 1"	"NCR1"
"217045_PM_x_at"	"217045_PM_x_at"	"AL136967"	"natural cytotoxicity triggering receptor 2"	"NCR2"
"210763_PM_x_at"	"210763_PM_x_at"	"AF031137"	"natural cytotoxicity triggering receptor 3"	"NCR3"
"233812_PM_at"	"233812_PM_at"	"BE645855"	"non-protein coding RNA 28"	"NCRNA00028"
"231760_PM_at"	"231760_PM_at"	"NM_022099"	"non-protein coding RNA 29"	"NCRNA00029"
"1559291_PM_at"	"1559291_PM_at"	"AF507950"	"Non-protein coding RNA 32"	"NCRNA00032"
"1554976_PM_a_at"	"1554976_PM_a_at"	"BC008253"	"non-protein coding RNA 51"	"NCRNA00051"
"1553226_PM_at"	"1553226_PM_at"	"NM_152454"	"non-protein coding RNA 52"	"NCRNA00052"
"213224_PM_s_at"	"213224_PM_s_at"	"AK025724"	"non-protein coding RNA 81"	"NCRNA00081"
"227992_PM_s_at"	"227992_PM_s_at"	"AA725913"	"non-protein coding RNA 85"	"NCRNA00085"
"227909_PM_at"	"227909_PM_at"	"AI742434"	"non-protein coding RNA 86 /// non-protein coding RNA 87"	"NCRNA00086 /// NCRNA00087"
"1562733_PM_at"	"1562733_PM_at"	"BC043559"	"non-protein coding RNA 92"	"NCRNA00092"
"203245_PM_s_at"	"203245_PM_s_at"	"BC002791"	"non-protein coding RNA 94"	"NCRNA00094"
"1553586_PM_at"	"1553586_PM_at"	"NM_175901"	"non-protein coding RNA 95"	"NCRNA00095"
"1562916_PM_at"	"1562916_PM_at"	"BC034825"	"non-protein coding RNA 102"	"NCRNA00102"
"232172_PM_at"	"232172_PM_at"	"AK023533"	"non-protein coding RNA 103"	"NCRNA00103"
"1552872_PM_at"	"1552872_PM_at"	"NM_025091"	"non-protein coding RNA 105"	"NCRNA00105"
"232463_PM_at"	"232463_PM_at"	"T77995"	"non-protein coding RNA 107"	"NCRNA00107"
"1554203_PM_at"	"1554203_PM_at"	"AY077697"	"non-protein coding RNA 110"	"NCRNA00110"
"1560881_PM_a_at"	"1560881_PM_a_at"	"AY040089"	"non-protein coding RNA 112"	"NCRNA00112"
"231491_PM_at"	"231491_PM_at"	"AI796012"	"non-protein coding RNA 113"	"NCRNA00113"
"220399_PM_at"	"220399_PM_at"	"NM_024796"	"non-protein coding RNA 115"	"NCRNA00115"
"228614_PM_at"	"228614_PM_at"	"AW182614"	"non-protein coding RNA 116"	"NCRNA00116"
"230488_PM_s_at"	"230488_PM_s_at"	"AW207777"	"non-protein coding RNA 118"	"NCRNA00118"
"1556887_PM_at"	"1556887_PM_at"	"BC039375"	"non-protein coding RNA 119"	"NCRNA00119"
"220530_PM_at"	"220530_PM_at"	"NM_018519"	"non-protein coding RNA 120"	"NCRNA00120"
"1552258_PM_at"	"1552258_PM_at"	"NM_052871"	"non-protein coding RNA 152"	"NCRNA00152"
"231303_PM_at"	"231303_PM_at"	"BE672389"	"non-protein coding RNA 158"	"NCRNA00158"
"1552466_PM_x_at"	"1552466_PM_x_at"	"NM_145033"	"non-protein coding RNA 161"	"NCRNA00161"
"1559254_PM_at"	"1559254_PM_at"	"BI826147"	"non-protein coding RNA 162"	"NCRNA00162"
"1562034_PM_at"	"1562034_PM_at"	"BC036902"	"non-protein coding RNA 163"	"NCRNA00163"
"1562413_PM_at"	"1562413_PM_at"	"AK055956"	"non-protein coding RNA 167"	"NCRNA00167"
"1561127_PM_at"	"1561127_PM_at"	"AF086274"	"non-protein coding RNA 168"	"NCRNA00168"
"215985_PM_at"	"215985_PM_at"	"X92110"	"Non-protein coding RNA 171"	"NCRNA00171"
"1563369_PM_at"	"1563369_PM_at"	"BI837301"	"non-protein coding RNA 173"	"NCRNA00173"
"235397_PM_at"	"235397_PM_at"	"AA020789"	"non-protein coding RNA 174"	"NCRNA00174"
"1564017_PM_at"	"1564017_PM_at"	"AK096071"	"non-protein coding RNA 175"	"NCRNA00175"
"233355_PM_at"	"233355_PM_at"	"AL157500"	"non-protein coding RNA 176"	"NCRNA00176"
"232462_PM_s_at"	"232462_PM_s_at"	"AK027222"	"non-protein coding RNA 181"	"NCRNA00181"
"1558515_PM_at"	"1558515_PM_at"	"AK057701"	"non-protein coding RNA 182"	"NCRNA00182"
"1554447_PM_at"	"1554447_PM_at"	"BC029480"	"non-protein coding RNA 183"	"NCRNA00183"
"1559645_PM_at"	"1559645_PM_at"	"AJ421679"	"non-protein coding RNA 184"	"NCRNA00184"
"207063_PM_at"	"207063_PM_at"	"NM_018542"	"non-protein coding RNA 185"	"NCRNA00185"
"1562943_PM_at"	"1562943_PM_at"	"BC039528"	"non-protein coding RNA 186"	"NCRNA00186"
"225065_PM_x_at"	"225065_PM_x_at"	"AI826279"	"non-protein coding RNA 188"	"NCRNA00188"
"1553607_PM_at"	"1553607_PM_at"	"NM_138968"	"non-protein coding RNA 189"	"NCRNA00189"
"225786_PM_at"	"225786_PM_at"	"AI440495"	"non-protein coding RNA 201"	"NCRNA00201"
"231196_PM_x_at"	"231196_PM_x_at"	"AI333226"	"non-protein coding RNA 202"	"NCRNA00202"
"1563524_PM_a_at"	"1563524_PM_a_at"	"AK024887"	"non-protein coding RNA 203"	"NCRNA00203"
"1552607_PM_at"	"1552607_PM_at"	"NM_173168"	"non-protein coding RNA 204"	"NCRNA00204"
"244164_PM_at"	"244164_PM_at"	"BE551248"	"Non-protein coding RNA 204B"	"NCRNA00204B"
"1552819_PM_at"	"1552819_PM_at"	"NM_153454"	"non-protein coding RNA 205"	"NCRNA00205"
"1564069_PM_at"	"1564069_PM_at"	"AK093987"	"non-protein coding RNA 213"	"NCRNA00213"
"220701_PM_at"	"220701_PM_at"	"NM_018587"	"non-protein coding RNA 216"	"NCRNA00216"
"225698_PM_at"	"225698_PM_at"	"BF314746"	"non-protein coding RNA 219"	"NCRNA00219"
"238387_PM_s_at"	"238387_PM_s_at"	"AW205017"	"non-protein coding RNA 226"	"NCRNA00226"
"216786_PM_at"	"216786_PM_at"	"AK026667"	"non-protein coding RNA 230A"	"NCRNA00230A"
"235941_PM_s_at"	"235941_PM_s_at"	"AI272059"	"non-protein coding RNA 230A /// non-protein coding RNA 230B"	"NCRNA00230A /// NCRNA00230B"
"1564367_PM_at"	"1564367_PM_at"	"AK094108"	"non-protein coding RNA 236"	"NCRNA00236"
"218266_PM_s_at"	"218266_PM_s_at"	"NM_014286"	"neuronal calcium sensor 1"	"NCS1"
"208759_PM_at"	"208759_PM_at"	"AF240468"	"nicastrin"	"NCSTN"
"204162_PM_at"	"204162_PM_at"	"NM_006101"	"NDC80 homolog, kinetochore complex component (S. cerevisiae)"	"NDC80"
"218414_PM_s_at"	"218414_PM_s_at"	"NM_017668"	"nudE nuclear distribution gene E homolog 1 (A. nidulans)"	"NDE1"
"208093_PM_s_at"	"208093_PM_s_at"	"NM_030808"	"nudE nuclear distribution gene E homolog (A. nidulans)-like 1"	"NDEL1"
"217800_PM_s_at"	"217800_PM_s_at"	"NM_030571"	"Nedd4 family interacting protein 1"	"NDFIP1"
"224799_PM_at"	"224799_PM_at"	"AW290956"	"Nedd4 family interacting protein 2"	"NDFIP2"
"209550_PM_at"	"209550_PM_at"	"U35139"	"necdin homolog (mouse)"	"NDN"
"226008_PM_at"	"226008_PM_at"	"AA627644"	"necdin-like 2"	"NDNL2"
"219899_PM_x_at"	"219899_PM_x_at"	"NM_014434"	"NADPH dependent diflavin oxidoreductase 1"	"NDOR1"
"206022_PM_at"	"206022_PM_at"	"NM_000266"	"Norrie disease (pseudoglioma)"	"NDP"
"200632_PM_s_at"	"200632_PM_s_at"	"NM_006096"	"N-myc downstream regulated 1"	"NDRG1"
"206453_PM_s_at"	"206453_PM_s_at"	"NM_016250"	"NDRG family member 2"	"NDRG2"
"217286_PM_s_at"	"217286_PM_s_at"	"BC001805"	"NDRG family member 3"	"NDRG3"
"209159_PM_s_at"	"209159_PM_s_at"	"AV724216"	"NDRG family member 4"	"NDRG4"
"1554010_PM_at"	"1554010_PM_at"	"BC012888"	"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1"	"NDST1"
"1559701_PM_s_at"	"1559701_PM_s_at"	"BC018681"	"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2"	"NDST2"
"220429_PM_at"	"220429_PM_at"	"NM_004784"	"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3"	"NDST3"
"1570222_PM_at"	"1570222_PM_at"	"BC012326"	"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4"	"NDST4"
"202298_PM_at"	"202298_PM_at"	"NM_004541"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa"	"NDUFA1"
"1554719_PM_at"	"1554719_PM_at"	"BC031332"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa"	"NDUFA10"
"225304_PM_s_at"	"225304_PM_s_at"	"BE741920"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa"	"NDUFA11"
"223244_PM_s_at"	"223244_PM_s_at"	"AF217092"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12"	"NDUFA12"
"220864_PM_s_at"	"220864_PM_s_at"	"NM_015965"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13 /// YjeF N-terminal domain containing 3"	"NDUFA13 /// YJEFN3"
"209223_PM_at"	"209223_PM_at"	"BF434335"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa"	"NDUFA2"
"218563_PM_at"	"218563_PM_at"	"NM_004542"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa"	"NDUFA3"
"217773_PM_s_at"	"217773_PM_s_at"	"NM_002489"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa"	"NDUFA4"
"218484_PM_at"	"218484_PM_at"	"NM_020142"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2"	"NDUFA4L2"
"201304_PM_at"	"201304_PM_at"	"NM_005000"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa"	"NDUFA5"
"202000_PM_at"	"202000_PM_at"	"BC002772"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa"	"NDUFA6"
"1557532_PM_at"	"1557532_PM_at"	"AA749262"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa"	"NDUFA7"
"218160_PM_at"	"218160_PM_at"	"NM_014222"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa"	"NDUFA8"
"208969_PM_at"	"208969_PM_at"	"AF050641"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa"	"NDUFA9"
"202077_PM_at"	"202077_PM_at"	"NM_005003"	"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa"	"NDUFAB1"
"204125_PM_at"	"204125_PM_at"	"NM_016013"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1"	"NDUFAF1"
"228355_PM_s_at"	"228355_PM_s_at"	"AI110585"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 2"	"NDUFAF2"
"209177_PM_at"	"209177_PM_at"	"BC002873"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3"	"NDUFAF3"
"219006_PM_at"	"219006_PM_at"	"NM_014165"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4"	"NDUFAF4"
"206790_PM_s_at"	"206790_PM_s_at"	"NM_004545"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa"	"NDUFB1"
"223112_PM_s_at"	"223112_PM_s_at"	"AF044954"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa"	"NDUFB10"
"218320_PM_s_at"	"218320_PM_s_at"	"NM_019056"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa"	"NDUFB11"
"218200_PM_s_at"	"218200_PM_s_at"	"NM_004546"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa"	"NDUFB2"
"203371_PM_s_at"	"203371_PM_s_at"	"NM_002491"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa"	"NDUFB3"
"218226_PM_s_at"	"218226_PM_s_at"	"NM_004547"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa"	"NDUFB4"
"203621_PM_at"	"203621_PM_at"	"NM_002492"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa"	"NDUFB5"
"1559042_PM_at"	"1559042_PM_at"	"BU588923"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa"	"NDUFB6"
"202839_PM_s_at"	"202839_PM_s_at"	"NM_004146"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa"	"NDUFB7"
"201227_PM_s_at"	"201227_PM_s_at"	"NM_005004"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa"	"NDUFB8"
"201226_PM_at"	"201226_PM_at"	"NM_005004"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa /// SEC31 homolog B (S. cerevisiae)"	"NDUFB8 /// SEC31B"
"222992_PM_s_at"	"222992_PM_s_at"	"AF261090"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa"	"NDUFB9"
"203478_PM_at"	"203478_PM_at"	"NM_002494"	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa"	"NDUFC1"
"218101_PM_s_at"	"218101_PM_s_at"	"NM_004549"	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa"	"NDUFC2"
"203039_PM_s_at"	"203039_PM_s_at"	"NM_005006"	"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)"	"NDUFS1"
"201966_PM_at"	"201966_PM_at"	"NM_004550"	"NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)"	"NDUFS2"
"201740_PM_at"	"201740_PM_at"	"NM_004551"	"NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)"	"NDUFS3"
"1555057_PM_at"	"1555057_PM_at"	"AB062482"	"NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)"	"NDUFS4"
"201757_PM_at"	"201757_PM_at"	"NM_004552"	"NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) /// ribosomal protein L10"	"NDUFS5 /// RPL10"
"203606_PM_at"	"203606_PM_at"	"NM_004553"	"NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)"	"NDUFS6"
"211752_PM_s_at"	"211752_PM_s_at"	"BC005954"	"NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)"	"NDUFS7"
"203189_PM_s_at"	"203189_PM_s_at"	"NM_002496"	"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)"	"NDUFS8"
"208714_PM_at"	"208714_PM_at"	"AF092131"	"NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa"	"NDUFV1"
"202941_PM_at"	"202941_PM_at"	"NM_021074"	"NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa"	"NDUFV2"
"226209_PM_at"	"226209_PM_at"	"AI129346"	"NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa"	"NDUFV3"
"214657_PM_s_at"	"214657_PM_s_at"	"AU134977"	"nuclear paraspeckle assembly transcript 1 (non-protein coding)"	"NEAT1"
"205054_PM_at"	"205054_PM_at"	"NM_004543"	"nebulin"	"NEB"
"203961_PM_at"	"203961_PM_at"	"AL157398"	"nebulette"	"NEBL"
"233305_PM_at"	"233305_PM_at"	"AF193756"	"N-terminal EF-hand calcium binding protein 1"	"NECAB1"
"215005_PM_at"	"215005_PM_at"	"AV723666"	"N-terminal EF-hand calcium binding protein 2"	"NECAB2"
"210720_PM_s_at"	"210720_PM_s_at"	"AB039947"	"N-terminal EF-hand calcium binding protein 3"	"NECAB3"
"209300_PM_s_at"	"209300_PM_s_at"	"BC002888"	"NECAP endocytosis associated 1"	"NECAP1"
"220731_PM_s_at"	"220731_PM_s_at"	"NM_018090"	"NECAP endocytosis associated 2"	"NECAP2"
"1552417_PM_a_at"	"1552417_PM_a_at"	"NM_152905"	"neural precursor cell expressed, developmentally down-regulated 1"	"NEDD1"
"213012_PM_at"	"213012_PM_at"	"D42055"	"neural precursor cell expressed, developmentally down-regulated 4"	"NEDD4"
"212445_PM_s_at"	"212445_PM_s_at"	"AI357376"	"neural precursor cell expressed, developmentally down-regulated 4-like"	"NEDD4L"
"201840_PM_at"	"201840_PM_at"	"NM_006156"	"neural precursor cell expressed, developmentally down-regulated 8"	"NEDD8"
"1569020_PM_at"	"1569020_PM_at"	"BC020686"	"neural precursor cell expressed, developmentally down-regulated 9"	"NEDD9"
"204412_PM_s_at"	"204412_PM_s_at"	"NM_021076"	"neurofilament, heavy polypeptide"	"NEFH"
"221801_PM_x_at"	"221801_PM_x_at"	"AL566528"	"neurofilament, light polypeptide"	"NEFL"
"205113_PM_at"	"205113_PM_at"	"NM_005382"	"neurofilament, medium polypeptide"	"NEFM"
"1553194_PM_at"	"1553194_PM_at"	"NM_173808"	"neuronal growth regulator 1"	"NEGR1"
"219396_PM_s_at"	"219396_PM_s_at"	"NM_024608"	"nei endonuclease VIII-like 1 (E. coli)"	"NEIL1"
"226585_PM_at"	"226585_PM_at"	"BE466620"	"nei endonuclease VIII-like 2 (E. coli)"	"NEIL2"
"219502_PM_at"	"219502_PM_at"	"NM_018248"	"nei endonuclease VIII-like 3 (E. coli)"	"NEIL3"
"1564093_PM_at"	"1564093_PM_at"	"AK024912"	"NIMA (never in mitosis gene a)-related kinase 1"	"NEK1"
"237227_PM_at"	"237227_PM_at"	"AI652681"	"NIMA (never in mitosis gene a)- related kinase 10"	"NEK10"
"1554380_PM_at"	"1554380_PM_at"	"AB071997"	"NIMA (never in mitosis gene a)- related kinase 11"	"NEK11"
"204641_PM_at"	"204641_PM_at"	"NM_002497"	"NIMA (never in mitosis gene a)-related kinase 2"	"NEK2"
"211089_PM_s_at"	"211089_PM_s_at"	"Z25434"	"NIMA (never in mitosis gene a)-related kinase 3"	"NEK3"
"1554659_PM_at"	"1554659_PM_at"	"BC037286"	"NIMA (never in mitosis gene a)-related kinase 4"	"NEK4"
"223158_PM_s_at"	"223158_PM_s_at"	"BE616825"	"NIMA (never in mitosis gene a)-related kinase 6"	"NEK6"
